e+e- --> pi+pi-pi0chib0							
Energy (MeV)	q1/a	q2	q3	q4	p2	p3	p1
10898.3	1.98E-02	-6.53E-04	-2.70E-05	1.01E-06	1.94E-01	1.27E+00	1.72E+00
10907.3	3.2	-	-	-	-	-	-
10928.7	7.98E-02	7.64E-04	-1.05E-04	1.45E-06	4.35E-02	3.92E-02	3.49E-01
10957.5	3.1	-	-	-	-	-	-
10975.3	3.38E-02	9.15E-05	-1.54E-05	1.40E-07	3.81E-02	5.21E-02	5.33E-01
10990.4	4.1	-	-	-	-	-	-
11003.9	3.8	-	-	-	-	-	-
11014.8	3.8	-	-	-	-	-	-
11018.5	3.2	-	-	-	-	-	-
11020.8	2.6	-	-	-	-	-	-
							
e+e- --> (pi+pi-pi0)_non-omega chib1							
Energy (MeV)	q1/a	q2	q3	q4	p2	p3	p1
10653.0	0.1	-	-	-	-	-	-
10701.0	0.1	-	-	-	-	-	-
10731.3	0.2	-	-	-	-	-	-
10805.0	-5.21E+00	3.57E+00	7.12E+00	6.01E+00	7.02E-01	3.53E-01	1.60474
10771.2	0.2	-	-	-	-	-	-
10829.5	-7.48E+00	1.41E+01	-8.77E+00	2.57E+00	-4.68E-01	4.43E+00	2.61E+00
10848.9	7.19E-01	-8.73E-02	-3.10E-02	5.74E-03	5.47E-01	4.40E-02	5.00E-01
10857.4	0.2	-	-	-	-	-	-
10877.8	0.2	-	-	-	-	-	-
10882.8	3.55E-01	-2.11E-01	5.56E-02	-5.09E-03	1.49E+00	4.41E-02	2.67E+00
10888.9	2.82E-02	-5.77E-03	-5.03E-04	1.25E-04	1.12E+00	1.93E-01	1.98E+00
10898.3	-1.53E+01	5.59E+01	-4.91E+01	2.69E+01	-4.41E-01	4.50E+00	3.35E+00
10907.3	9.53E-01	-1.53E-01	-7.28E-02	1.79E-02	7.28E-01	4.41E-02	5.01E-01
10928.7	-7.60E+00	1.45E+01	-9.88E+00	2.81E+00	-1.44E+00	2.02E+01	1.50E+01
10957.5	-5.64E+00	8.05E+00	-4.06E+00	8.42E-01	-3.53E-01	2.43E+00	8.05E-01
10975.3	0.2	-	-	-	-	-	-
10990.4	2.75E-02	-5.32E-03	-4.93E-04	1.13E-04	1.09E+00	1.93E-01	1.98E+00
11003.9	7.79E-01	-1.03E-01	-3.89E-02	7.80E-03	5.91E-01	4.40E-02	5.00E-01
11014.8	-8.12E-01	2.60E-01	-4.43E-02	3.79E-03	4.16E-01	1.47E+00	7.08E+00
11018.5	-1.26E+00	5.38E-01	-9.51E-02	8.13E-03	4.94E-01	5.11E+00	1.21E+01
11020.8	-6.59E+00	1.09E+01	-6.43E+00	1.59E+00	-1.33E+00	2.29E+01	1.73E+01
							
e+e- --> (pi+pi-pi0)_non-omega chib2							
Energy (MeV)	q1/a	q2	q3	q4	p2	p3	p1
10653.0	0.1	-	-	-	-	-	-
10701.0	0.2	-	-	-	-	-	-
10731.3	0.5	-	-	-	-	-	-
10805.0	-3.42E-01	1.70E-01	3.12E-01	-2.45E-01	3.48E+00	6.96E-01	0.775847
10771.2	0.5	-	-	-	-	-	-
10829.5	0.3	-	-	-	-	-	-
10848.9	0.5	-	-	-	-	-	-
10857.4	1.33E-02	-1.17E-03	-6.47E-05	6.43E-06	5.20E-01	1.93E-01	1.98E+00
10877.8	8.54E-01	-1.74E-01	1.50E-02	-4.71E-04	2.14E-01	2.25E-02	3.95E-01
10882.8	3.99E-01	-1.12E-02	-2.32E-02	3.15E-03	5.27E-01	9.92E-02	4.24E-01
10888.9	2.23E+00	-6.05E-01	6.86E-02	-2.80E-03	1.55E-01	6.40E-03	2.73E-01
10898.3	0.2	-	-	-	-	-	-
10907.3	2.08E+00	-6.68E-01	9.08E-02	-4.49E-03	2.20E-01	1.03E-02	3.11E-01
10928.7	0.3	-	-	-	-	-	-
10957.5	0.4	-	-	-	-	-	-
10975.3	-5.83E-01	1.26E-01	-1.30E-02	6.59E-04	1.76E-01	1.20E+00	5.38E+00
10990.4	0.5	-	-	-	-	-	-
11003.9	1.45E-02	-1.43E-03	-6.90E-05	8.05E-06	5.59E-01	1.93E-01	1.98E+00
11014.8	0.4	-	-	-	-	-	-
11018.5	0.4	-	-	-	-	-	-
11020.8	0.3	-	-	-	-	-	-
